id,request_time,bus_income,left_db_border,right_db_border,timeout
1,"2020-02-15 18:55:19.750951",19:06:16,19:04:00,19:12:00,328
2,"2020-02-15 18:59:45.708034",19:08:02,19:04:00,19:12:00,248
3,"2020-02-15 19:04:04.400014",19:07:57,19:04:00,19:12:00,116
4,"2020-02-15 19:06:12.882582",19:08:24,19:04:00,19:12:00,66
5,"2020-02-15 19:07:30.811535",19:08:17,19:04:00,19:12:00,23
6,"2020-02-15 19:08:03.564746",19:08:14,19:04:00,19:12:00,10
7,"2020-02-15 19:08:21.431185",19:08:14,19:04:00,19:12:00,10
8,"2020-02-15 19:08:39.233653",19:12:51,19:12:00,19:23:00,126
9,"2020-02-15 19:10:57.163781",19:13:21,19:12:00,19:23:00,72
10,"2020-02-15 19:12:20.160581",19:13:10,19:12:00,19:23:00,25
11,"2020-02-15 19:12:52.897576",19:13:56,19:12:00,19:23:00,32
12,"2020-02-15 19:13:35.892885",19:13:39,19:12:00,19:23:00,10
13,"2020-02-15 19:13:53.397371",19:22:50,19:12:00,19:23:00,268
14,"2020-02-15 19:18:32.317808",19:22:57,19:12:00,19:23:00,132
15,"2020-02-15 19:20:56.265461",19:23:25,19:23:00,19:34:00,74
16,"2020-02-15 19:22:20.115292",19:23:15,19:23:00,19:34:00,27
17,"2020-02-15 19:22:57.495945",19:23:27,19:23:00,19:34:00,15
18,"2020-02-15 19:23:20.608526",19:23:27,19:23:00,19:34:00,10
19,"2020-02-15 19:23:38.615870",19:23:29,19:23:00,19:34:00,10
20,"2020-02-15 19:23:56.281965",19:23:29,19:23:00,19:34:00,10
21,"2020-02-15 19:24:14.207388",19:45:33,19:45:00,20:04:00,639
22,"2020-02-15 19:35:03.164789",19:45:45,19:45:00,20:04:00,321
23,"2020-02-15 19:40:36.725916",19:47:24,19:45:00,20:04:00,204
24,"2020-02-15 19:44:09.828962",19:47:03,19:45:00,20:04:00,87
25,"2020-02-15 19:45:47.800900",19:46:59,19:45:00,20:04:00,36
26,"2020-02-15 19:46:35.638721",19:46:51,19:45:00,20:04:00,10
27,"2020-02-15 19:46:53.864279",19:46:49,19:45:00,20:04:00,10
28,"2020-02-15 19:47:11.294270",20:13:39,20:04:00,20:24:00,794
29,"2020-02-15 20:00:35.286854",20:12:39,20:04:00,20:24:00,362
30,"2020-02-15 20:06:49.040361",20:14:57,20:04:00,20:24:00,244
31,"2020-02-15 20:11:02.103589",20:14:30,20:04:00,20:24:00,104
32,"2020-02-15 20:12:55.239904",20:14:30,20:04:00,20:24:00,47
33,"2020-02-15 20:13:53.342708",20:14:29,20:04:00,20:24:00,18
34,"2020-02-15 20:14:21.255053",20:14:18,20:04:00,20:24:00,10
35,"2020-02-15 20:14:39.026250",,,,40
36,"2020-02-15 20:15:26.875185",20:44:10,20:44:00,21:04:00,862
37,"2020-02-15 20:30:01.237156",20:47:23,20:44:00,21:04:00,521
38,"2020-02-15 20:38:54.670976",20:50:55,20:44:00,21:04:00,360
39,"2020-02-15 20:45:03.631719",20:52:04,20:44:00,21:04:00,210
40,"2020-02-15 20:48:41.612039",20:51:58,20:44:00,21:04:00,98
41,"2020-02-15 20:50:29.930986",20:52:30,20:44:00,21:04:00,60
42,"2020-02-15 20:51:38.054177",20:52:31,20:44:00,21:04:00,26
43,"2020-02-15 20:52:15.637559",20:52:18,20:44:00,21:04:00,10
44,"2020-02-15 20:52:33.267869",21:10:27,21:04:00,21:21:00,537
45,"2020-02-15 21:01:41.011032",21:11:49,21:04:00,21:21:00,304
46,"2020-02-15 21:06:53.967780",21:13:36,21:04:00,21:21:00,201
47,"2020-02-15 21:10:27.182479",21:13:11,21:04:00,21:21:00,82
48,"2020-02-15 21:12:00.740839",21:13:45,21:04:00,21:21:00,52
49,"2020-02-15 21:13:04.079343",21:13:05,21:04:00,21:21:00,10
50,"2020-02-15 21:13:21.516011",21:38:41,21:38:00,21:57:00,760
51,"2020-02-15 21:26:10.513776",21:40:24,21:38:00,21:57:00,427
52,"2020-02-15 21:33:28.384772",21:43:17,21:38:00,21:57:00,294
53,"2020-02-15 21:38:31.202038",21:43:15,21:38:00,21:57:00,142
54,"2020-02-15 21:41:04.228948",21:44:14,21:38:00,21:57:00,95
55,"2020-02-15 21:42:46.664723",21:44:06,21:38:00,21:57:00,40
56,"2020-02-15 21:43:34.426072",21:45:00,21:38:00,21:57:00,43
57,"2020-02-15 21:44:27.425058",21:44:03,21:38:00,21:57:00,10
58,"2020-02-15 21:44:45.103983",,,,40
59,"2020-02-15 21:45:33.271443",,,,70
60,"2020-02-15 21:46:50.970024",,,,100
61,"2020-02-15 21:48:38.717490",,,,130
62,"2020-02-15 21:50:56.376227",,,,160
63,"2020-02-15 21:53:44.134961",,,,190
64,"2020-02-15 21:57:01.780580",,,,220
65,"2020-02-15 22:00:49.528673",,,,250
66,"2020-02-15 22:05:07.445053",,,,280
67,"2020-02-15 22:09:55.341459",,,,310
68,"2020-02-15 22:15:13.296300",22:40:39,22:27:00,22:57:00,763
69,"2020-02-15 22:28:07.098292",22:41:29,22:27:00,22:57:00,401
70,"2020-02-15 22:35:00.109558",22:40:14,22:27:00,22:57:00,157
71,"2020-02-15 22:37:48.230443",22:40:07,22:27:00,22:57:00,69
72,"2020-02-15 22:39:06.613580",22:40:13,22:27:00,22:57:00,33
73,"2020-02-15 22:39:49.449443",22:39:47,22:27:00,22:57:00,10
74,"2020-02-15 22:40:07.478870",22:39:41,22:27:00,22:57:00,10
75,"2020-02-15 22:40:24.987621",23:08:12,22:57:00,23:27:00,834
76,"2020-02-15 22:54:29.824360",23:06:50,22:57:00,23:27:00,370
77,"2020-02-15 23:00:49.074806",23:06:09,22:57:00,23:27:00,160
78,"2020-02-15 23:03:37.293758",23:06:57,22:57:00,23:27:00,100
79,"2020-02-15 23:05:24.953232",23:07:01,22:57:00,23:27:00,48
80,"2020-02-15 23:06:22.751228",23:07:01,22:57:00,23:27:00,19
81,"2020-02-15 23:06:50.697767",23:06:47,22:57:00,23:27:00,10
82,"2020-02-15 23:07:08.474670",,,,40
83,"2020-02-15 23:07:56.654620",,,,70
84,"2020-02-15 23:09:14.510693",,,,100
85,"2020-02-15 23:11:03.245528",23:39:43,23:27:00,23:57:00,860
86,"2020-02-15 23:25:32.191909",23:39:58,23:27:00,23:57:00,433
87,"2020-02-15 23:32:55.375628",23:41:43,23:27:00,23:57:00,264
88,"2020-02-15 23:37:28.212721",23:42:41,23:27:00,23:57:00,156
89,"2020-02-15 23:40:16.303384",23:42:55,23:27:00,23:57:00,79
90,"2020-02-15 23:41:44.302431",23:43:22,23:27:00,23:57:00,49
91,"2020-02-15 23:42:42.138450",23:43:42,23:27:00,23:57:00,30
92,"2020-02-15 23:43:20.191404",23:43:34,23:27:00,23:57:00,10
93,"2020-02-15 23:43:37.874283",23:43:27,23:27:00,23:57:00,10
94,"2020-02-15 23:43:55.422066",00:09:46,23:57:00,00:27:00,10
95,"2020-02-15 23:44:13.211003",00:09:58,23:57:00,00:27:00,10
96,"2020-02-15 23:44:30.949666",00:09:57,23:57:00,00:27:00,10
97,"2020-02-15 23:44:48.677242",00:09:57,23:57:00,00:27:00,10
98,"2020-02-15 23:45:06.615945",00:09:28,23:57:00,00:27:00,10
99,"2020-02-15 23:45:24.149569",00:09:29,23:57:00,00:27:00,10
100,"2020-02-15 23:45:41.781029",00:09:29,23:57:00,00:27:00,10
101,"2020-02-15 23:45:59.296919",00:08:20,23:57:00,00:27:00,10
102,"2020-02-15 23:46:17.099055",00:08:07,23:57:00,00:27:00,10
103,"2020-02-15 23:46:34.864577",00:08:19,23:57:00,00:27:00,10
104,"2020-02-15 23:46:52.629764",00:08:19,23:57:00,00:27:00,10
105,"2020-02-15 23:47:10.217574",00:08:47,23:57:00,00:27:00,10
106,"2020-02-15 23:47:28.200079",00:08:47,23:57:00,00:27:00,10
107,"2020-02-15 23:47:45.649296",00:08:26,23:57:00,00:27:00,10
108,"2020-02-15 23:48:03.242617",00:08:51,23:57:00,00:27:00,10
109,"2020-02-15 23:48:20.683761",00:08:52,23:57:00,00:27:00,10
110,"2020-02-15 23:48:38.362586",00:08:52,23:57:00,00:27:00,10
111,"2020-02-15 23:48:56.049989",00:08:52,23:57:00,00:27:00,10
112,"2020-02-15 23:49:13.792314",00:09:56,23:57:00,00:27:00,10
113,"2020-02-15 23:49:31.427078",00:09:56,23:57:00,00:27:00,10
114,"2020-02-15 23:49:49.100829",00:09:56,23:57:00,00:27:00,10
115,"2020-02-15 23:50:07.097592",00:10:41,23:57:00,00:27:00,10
116,"2020-02-15 23:50:24.946881",00:10:01,23:57:00,00:27:00,10
117,"2020-02-15 23:50:42.512819",00:09:48,23:57:00,00:27:00,10
118,"2020-02-15 23:50:59.937196",00:09:48,23:57:00,00:27:00,10
119,"2020-02-15 23:51:17.688843",00:09:45,23:57:00,00:27:00,10
120,"2020-02-15 23:51:35.326406",00:09:00,23:57:00,00:27:00,10
121,"2020-02-15 23:51:53.090245",00:08:40,23:57:00,00:27:00,10
